Date,Open,High,Low,Close,Adj Close,Volume
2018-12-13,303700.000000,304955.000000,302310.000000,303750.000000,303750.000000,500
2018-12-14,301554.000000,302406.000000,299440.000000,300320.000000,300320.000000,800
2018-12-17,299120.000000,303150.000000,296000.000000,297000.000000,297000.000000,500
2018-12-18,299030.000000,300540.000000,292524.000000,294500.000000,294500.000000,800
2018-12-19,295000.000000,301000.000000,290627.000000,293040.000000,293040.000000,500
2018-12-20,290425.000000,292975.000000,287485.000000,290100.000000,290100.000000,700
2018-12-21,290000.000000,296100.000000,287800.000000,288000.000000,288000.000000,500
2018-12-24,288000.000000,288000.000000,281000.000000,282640.000000,282640.000000,400
2018-12-26,283250.000000,296745.000000,279410.000000,294850.000000,294850.000000,500
2018-12-27,293000.000000,299800.000000,288000.000000,298500.000000,298500.000000,600
2018-12-28,300005.000000,306900.000000,300005.000000,302600.000000,302600.000000,500
2018-12-31,306000.000000,307479.000000,301618.000000,306000.000000,306000.000000,300
2019-01-02,302000.000000,306255.000000,301880.000000,304057.000000,304057.000000,400
2019-01-03,300000.000000,300000.000000,286650.000000,287000.000000,287000.000000,700
2019-01-04,292715.000000,295404.000000,290755.000000,292500.000000,292500.000000,800
2019-01-07,294500.000000,297170.000000,292970.000000,295400.000000,295400.000000,600
2019-01-08,299060.000000,299060.000000,292179.000000,294300.000000,294300.000000,300
2019-01-09,295990.000000,296250.000000,292600.000000,294560.000000,294560.000000,300
2019-01-10,293600.000000,296725.000000,292815.000000,295160.000000,295160.000000,300
2019-01-11,293750.000000,294300.000000,292000.000000,293980.000000,293980.000000,500
2019-01-14,291750.000000,294631.000000,291650.000000,292371.000000,292371.000000,500
2019-01-15,294180.000000,295880.000000,293009.000000,295000.000000,295000.000000,500
2019-01-16,296300.000000,299300.000000,295811.000000,295811.000000,295811.000000,700
2019-01-17,297000.000000,299075.000000,294970.000000,297547.000000,297547.000000,200
2019-01-18,301398.000000,306725.000000,300603.000000,306500.000000,306500.000000,400
2019-01-22,305000.000000,307305.000000,298794.000000,300531.000000,300531.000000,300
2019-01-23,300725.000000,301850.000000,298000.000000,301835.000000,301835.000000,200
2019-01-24,300035.000000,302100.000000,299740.000000,301680.000000,301680.000000,200
2019-01-25,304561.000000,306950.000000,303265.000000,303531.000000,303531.000000,200
2019-01-28,301900.000000,302240.000000,299850.000000,301000.000000,301000.000000,400
2019-01-29,300880.000000,303014.000000,300745.000000,303000.000000,303000.000000,200
2019-01-30,305900.000000,311145.000000,304800.000000,309180.000000,309180.000000,300
2019-01-31,307540.000000,311890.000000,306195.000000,311500.000000,311500.000000,500
2019-02-01,310005.000000,313960.000000,309965.000000,313875.000000,313875.000000,400
2019-02-04,313650.000000,313650.000000,310470.000000,312000.000000,312000.000000,300
2019-02-05,312550.000000,313000.000000,310155.000000,310700.000000,310700.000000,400
2019-02-06,310000.000000,310449.000000,307780.000000,308810.000000,308810.000000,100
2019-02-07,307000.000000,307150.000000,301100.000000,302813.000000,302813.000000,200
2019-02-08,301000.000000,301390.000000,297381.000000,300771.000000,300771.000000,200
2019-02-11,302375.000000,304930.000000,302350.000000,304884.000000,304884.000000,200
2019-02-12,307900.000000,310000.000000,307655.000000,309260.000000,309260.000000,200
2019-02-13,309650.000000,312140.000000,308025.000000,308320.000000,308320.000000,400
2019-02-14,306895.000000,306895.000000,302585.000000,303890.000000,303890.000000,200
2019-02-15,307000.000000,308320.000000,305850.000000,308139.000000,308139.000000,200
2019-02-19,307820.000000,309350.000000,307295.000000,307315.000000,307315.000000,200
2019-02-20,308375.000000,309500.000000,307500.000000,309500.000000,309500.000000,100
2019-02-21,308992.000000,309800.000000,306535.000000,307925.000000,307925.000000,200
2019-02-22,305434.000000,305434.000000,300000.000000,302000.000000,302000.000000,400
2019-02-25,303050.000000,307500.000000,302000.000000,303300.000000,303300.000000,300
2019-02-26,303900.000000,303900.000000,302000.000000,302500.000000,302500.000000,200
2019-02-27,302500.000000,303503.000000,302100.000000,303000.000000,303000.000000,300
2019-02-28,303605.000000,303710.000000,302000.000000,302200.000000,302200.000000,200
